,Corridor,Name,Coordinates,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
0,1,HALTE KEUDAH,"5.559781, 95.317649",7,4,0,39,1,6,29,6,39,10
1,1,HALTE PORTABLE MASJID RAYA,"5.553979, 95.318540",12,3,0,28,1,8,37,6,41,11
2,1,HALTE SP. LIMA,"5.556597, 95.323211",5,4,0,30,4,6,41,5,52,9
3,1,HALTE KP. KEURAMAT,"5.558210, 95.327378",10,4,0,20,3,1,34,6,27,4
4,1,HALTE PORTABLE SP. JAMBO TAPE,"5.559729, 95.330911",9,6,0,30,6,15,25,2,17,3
5,1,HALTE RSUZA,"5.565763, 95.337352",11,7,0,11,3,6,29,1,16,5
6,1,HALTE KANTOR GUB. ACEH,"5.571251, 95.342931",8,5,0,10,1,4,25,3,4,0
7,1,HALTE LINGKE,"5.575517, 95.347320",4,7,0,11,1,4,16,2,5,3
8,1,HALTE PORTABLE SP. MESRA,"5.580420, 95.353206",1,3,0,14,2,5,3,3,10,3
9,1,HALTE PORTABLE LAMNYONG,"5.575038, 95.355430",0,4,0,16,1,3,13,2,6,5
10,1,HALTE FAKULTAS TEKNIK,"5.566064, 95.366778",2,35,0,5,2,5,9,1,7,1
11,1,HALTE FAKULTAS KEDOKTERAN,"5.564918, 95.372027",3,38,0,7,0,4,7,1,4,2
12,1,HALTE PORTABLE FAKULTAS PERTANIAN,"5.566133, 95.371822",4,43,0,7,0,4,9,4,2,2
13,1,HALTE MASJID JAMI',"5.571456, 95.371424",10,44,1,9,1,4,9,5,7,5
14,1,HALTE PORTABLE SMA LIMA,"5.574906, 95.367055",6,42,1,9,1,6,11,2,8,3
15,1,HALTE LAMNYONG,"5.575536, 95.355065",0,4,0,16,1,3,10,1,6,5
16,1,HALTE SP. MESRA,"5.579951, 95.352974",1,2,0,16,2,6,4,3,11,3
17,1,HALTE PRADA,"5.573958, 95.345972",9,7,0,11,1,6,23,2,6,3
18,1,HALTE DPKA,"5.570738, 95.342698",10,6,0,8,1,2,25,2,5,0
19,1,HALTE RSUZA,"5.564713, 95.336554",9,7,0,14,3,5,30,1,16,5
20,1,HALTE PORTABLE JAMBO TAPE,"5.559908, 95.331420",9,5,0,32,8,4,22,1,15,2
21,1,HALTE KP. KEURAMAT,"5.557950, 95.327167",9,5,0,18,3,1,29,5,26,4
22,1,HALTE PORTABLE SP. LIMA,"5.556219, 95.322956",6,4,0,30,4,6,42,5,56,9
23,1,HALTE PEUNAYONG,"5.558637, 95.318945",7,4,0,52,5,9,39,2,49,12
24,1,HALTE PORTABLE EKONOMI UNSYIAH,"5.573954, 95.365612",6,42,1,11,0,3,14,5,11,4
25,1,HALTE PORTABLE BEURABONG,"5.568054, 95.377066",2,3,0,4,0,4,3,4,6,1
26,2,HALTE PELABUHAN ULEE LHEUE TIPE A,"5.564047, 95.292068",0,0,0,4,0,4,2,0,2,6
27,2,HALTE KUBURAN MASSAL 1 ULEE LHEUE,"5.555766, 95.285874",0,2,0,4,0,5,5,0,6,2
28,2,HALTE KUBURAN MASSAL 2  ULEE LHEUE (seberang),"5.555576, 95.285798",0,2,0,4,0,6,5,0,6,2
29,2,HALTE PUNGE 1 (Seberang kantor WIKA),"5.550702, 95.306764",2,4,0,4,1,2,3,0,14,3
30,2,HALTE PASAR ACEH BARU,"5.555505, 95.316060",13,5,1,13,0,5,32,3,34,9
